query,expected_state,expected_track,sample_duration,sample_start_position,degradation,predicted_track,best_score,second_best_score,margin,decision,correct_decision,processing_time
songA_test.wav,KNOWN,songA,5.0,10.0,CLEAN,songA,39,1,38,MATCH,True,0.02
songA_test.wav,KNOWN,songA,5.0,10.0,LIGHT,songA,39,3,36,MATCH,True,0.02
songA_test.wav,KNOWN,songA,5.0,10.0,MEDIUM,songA,4,3,1,NO_MATCH,False,0.02
songA_test.wav,KNOWN,songA,5.0,10.0,HEAVY,songA,2,1,1,NO_MATCH,False,0.02
songA_test.wav,KNOWN,songA,8.0,10.0,CLEAN,songA,66,2,64,MATCH,True,0.02
songA_test.wav,KNOWN,songA,8.0,10.0,LIGHT,songA,67,2,65,MATCH,True,0.03
songA_test.wav,KNOWN,songA,8.0,10.0,MEDIUM,songA,4,2,2,NO_MATCH,False,0.03
songA_test.wav,KNOWN,songA,8.0,10.0,HEAVY,songA,1,1,0,NO_MATCH,False,0.03
songA_test.wav,KNOWN,songA,10.0,10.0,CLEAN,songA,92,2,90,MATCH,True,0.03
songA_test.wav,KNOWN,songA,10.0,10.0,LIGHT,songA,73,1,72,MATCH,True,0.04
songA_test.wav,KNOWN,songA,10.0,10.0,MEDIUM,songA,6,2,4,POSSIBLE_MATCH,True,0.04
songA_test.wav,KNOWN,songA,10.0,10.0,HEAVY,songC,2,1,1,NO_MATCH,False,0.03
songB_test.wav,KNOWN,songB,5.0,10.0,CLEAN,songB,54,3,51,MATCH,True,0.02
songB_test.wav,KNOWN,songB,5.0,10.0,LIGHT,songB,46,1,45,MATCH,True,0.03
songB_test.wav,KNOWN,songB,5.0,10.0,MEDIUM,songB,3,1,2,NO_MATCH,False,0.02
songB_test.wav,KNOWN,songB,5.0,10.0,HEAVY,songA,1,1,0,NO_MATCH,False,0.02
songB_test.wav,KNOWN,songB,8.0,10.0,CLEAN,songB,88,3,85,MATCH,True,0.02
songB_test.wav,KNOWN,songB,8.0,10.0,LIGHT,songB,79,1,78,MATCH,True,0.03
songB_test.wav,KNOWN,songB,8.0,10.0,MEDIUM,songB,6,2,4,POSSIBLE_MATCH,True,0.03
songB_test.wav,KNOWN,songB,8.0,10.0,HEAVY,songB,1,1,0,NO_MATCH,False,0.03
songB_test.wav,KNOWN,songB,10.0,10.0,CLEAN,songB,112,3,109,MATCH,True,0.03
songB_test.wav,KNOWN,songB,10.0,10.0,LIGHT,songB,115,2,113,MATCH,True,0.04
songB_test.wav,KNOWN,songB,10.0,10.0,MEDIUM,songB,5,2,3,POSSIBLE_MATCH,True,0.03
songB_test.wav,KNOWN,songB,10.0,10.0,HEAVY,songA,1,1,0,NO_MATCH,False,0.04
songC_test.wav,KNOWN,songC,5.0,10.0,CLEAN,songC,76,5,71,MATCH,True,0.02
songC_test.wav,KNOWN,songC,5.0,10.0,LIGHT,songC,54,3,51,MATCH,True,0.02
songC_test.wav,KNOWN,songC,5.0,10.0,MEDIUM,songC,3,1,2,NO_MATCH,False,2.05
songC_test.wav,KNOWN,songC,5.0,10.0,HEAVY,songC,1,1,0,NO_MATCH,False,0.02
songC_test.wav,KNOWN,songC,8.0,10.0,CLEAN,songC,101,5,96,MATCH,True,0.02
songC_test.wav,KNOWN,songC,8.0,10.0,LIGHT,songC,77,2,75,MATCH,True,0.03
songC_test.wav,KNOWN,songC,8.0,10.0,MEDIUM,songC,4,1,3,NO_MATCH,False,0.03
songC_test.wav,KNOWN,songC,8.0,10.0,HEAVY,songC,1,1,0,NO_MATCH,False,0.03
songC_test.wav,KNOWN,songC,10.0,10.0,CLEAN,songC,125,5,120,MATCH,True,0.03
songC_test.wav,KNOWN,songC,10.0,10.0,LIGHT,songC,76,4,72,MATCH,True,0.04
songC_test.wav,KNOWN,songC,10.0,10.0,MEDIUM,songC,8,2,6,POSSIBLE_MATCH,True,0.03
songC_test.wav,KNOWN,songC,10.0,10.0,HEAVY,songB,2,1,1,NO_MATCH,False,0.03
songD_test.wav,UNKNOWN,,8.0,0.0,MEDIUM,songA,1,1,0,NO_MATCH,True,0.03
